"","Gene_ID_IMG","Start.Coord","End.Coord","Strand","GC","Nuc","AA","Description","Gi","GeneID","Locus"
"Tery_1419","638106577","2149880","2150767","+","0.32","888","296","sulfotransferase","113475127","4243090","-"
"Tery_1420","638106578","2150970","2151116","-","0.35","147","49","putative transposase gene of IS630 family insertion sequence ISY508c","113475128","4243091","-"
"Tery_1421","638106579","2151480","2154209","-","0.42","2730","910","Polynucleotide adenylyltransferase region( EC:2.7.7.19 )","113475129","4243092","-"
"Tery_1422","638106580","2154982","2155371","+","0.34","390","130","protein of unknown function DUF820","113475130","4243093","-"
"Tery_1423","638106581","2155551","2157032","-","0.32","1482","494","Nucleoside phosphorylase-like","113475131","4243016","-"
"Tery_1424","638106582","2157109","2158074","-","0.29","966","322","hypothetical protein","113475132","4243017","-"
"Tery_1425","638106583","2158202","2159509","-","0.33","1308","436","transposase, IS605 OrfB family","113475133","4243018","-"
"Tery_1426","638106584","2159601","2159990","-","0.34","390","130","Nucleoside phosphorylase-like","113475134","4243019","-"
"Tery_1427","638106585","2160042","2160473","-","0.34","432","144","Nucleoside phosphorylase-like","113475135","4243020","-"
"Tery_1428","638106586","2160500","2162746","-","0.33","2247","749","Miro-like","113475136","4243021","-"
"Tery_1429","638106587","2162739","2163899","-","0.33","1161","387","COG3825: Uncharacterized protein conserved in bacteria","113475137","4243022","-"
"Tery_1430","638106588","2164055","2165092","-","0.34","1038","346","ATPase associated with various cellular activities, AAA_5","113475138","4243023","-"
"Tery_1431","638106589","2165108","2166181","-","0.27","1074","358","hypothetical protein","113475139","4243024","-"
"Tery_1432","638106590","2166252","2167331","-","0.38","1080","360","purine and other phosphorylases, family 1","113475140","4243025","-"
"Tery_1433","638106591","2167779","2168330","+","0.32","552","184","integral membrane protein","113475141","4243026","-"
"Tery_1435","638106593","2170544","2171125","+","0.39","582","194","Riboflavin synthase( EC:2.5.1.- )","113475143","4243028","ribH"
"Tery_R0009","640717037","2171224","2171295","+","0.58","72","-","tRNA-Gly-GCC ","-","4243029","-"
"Tery_1436","639331491","2172090","2172413","+","0.35","324","108","-","-","-","-"
"Tery_1437","638106595","2173203","2174015","-","0.38","813","271","Stearoyl-CoA 9-desaturase( EC:1.14.19.1 )","113475144","4243031","-"
"Tery_1438","638106596","2174746","2175996","+","0.43","1251","417","Aluminium resistance( EC:4.4.1.1 )","113475145","4243032","-"
"Tery_1440","638106597","2177667","2179061","-","0.31","1395","465","WD-repeat protein","113475146","4245754","-"
"Tery_1441","638106598","2179545","2181449","-","0.42","1905","635","efflux transporter, RND family, MFP subunit","113475147","4245755","-"
"Tery_1443","639331493","2182448","2182789","-","0.3","342","114","-","-","-","-"
"Tery_1444","639331494","2183389","2183787","-","0.25","399","133","-","-","-","-"
"Tery_1445","638106600","2183805","2183933","-","0.27","129","43","hypothetical protein","113475149","4245759","-"
"Tery_1446","638106601","2184008","2184361","-","0.26","354","118","conserved hypothetical protein","113475150","4245760","-"
"Tery_1447","638106602","2184530","2184919","-","0.25","390","130","conserved hypothetical protein","113475151","4245761","-"
"Tery_1448","639331495","2186122","2186541","-","0.29","420","140","-","-","-","-"
"Tery_1449","639331496","2187309","2187962","+","0.37","654","218","-","-","-","-"
"Tery_1450","638106603","2188783","2191536","-","0.4","2754","918","Hemolysin-type calcium-binding region","113475152","4245764","-"
"Tery_1451","638106604","2191817","2193394","-","0.37","1578","526","periplasmic binding protein/LacI transcriptional regulator","113475153","4245765","-"
"Tery_1452","638106605","2193828","2195204","-","0.33","1377","459","ABC-type branched-chain amino acid transport system, periplasmic component","113475154","4245766","-"
"Tery_1453","638106606","2196696","2197466","+","0.37","771","257","conserved hypothetical protein","113475155","4245767","-"
"Tery_1454","638106607","2198110","2201106","+","0.34","2997","999","WGR","113475156","4245768","-"
"Tery_1455","638106608","2202340","2202627","-","0.38","288","96","plasmid stabilization system","113475157","4245769","-"
"Tery_1456","638106609","2202612","2202809","-","0.31","198","66","conserved hypothetical protein","113475158","4245770","-"
"Tery_1457","638106610","2203647","2205473","-","0.4","1827","609","threonyl-tRNA synthetase( EC:6.1.1.3 )","113475159","4245771","thrS"
"Tery_1458","638106611","2206086","2207102","-","0.32","1017","339","Substrate-binding region of ABC-type glycine betaine transport system","113475160","4245772","proX"
"Tery_1459","638106612","2207730","2208740","-","0.31","1011","337","Substrate-binding region of ABC-type glycine betaine transport system","113475161","4245773","proX"
"Tery_1460","638106613","2209262","2209720","+","0.36","459","153","ribosomal protein L9","113475162","4241666","rplI"
"Tery_1461","638106614","2209909","2212056","-","0.31","2148","716","peptidase-like","113475163","4241667","-"
"Tery_1462","638106615","2212409","2220226","+","0.33","7818","2606","Protein splicing site( EC:3.6.1.- )","113475164","4241668","-"
"Tery_1463","638106616","2221744","2222886","-","0.28","1143","381","hypothetical protein","113475165","4241669","-"
"Tery_1464","638106617","2222907","2223434","-","0.37","528","176","similar to NTPase (NACHT family)","113475166","4241670","-"
"Tery_1465","638106618","2223507","2225219","-","0.31","1713","571","putative signal transduction protein with Nacht domain","113475167","4241671","-"
"Tery_1466","638106619","2225569","2226135","-","0.33","567","189","protein of unknown function DUF820","113475168","4241672","-"
"Tery_1467","638106620","2226624","2227235","-","0.39","612","204","Peptidylprolyl isomerase( EC:5.2.1.8 )","113475169","4241673","-"
"Tery_1468","638106621","2227399","2227725","-","0.43","327","109","COG3937: Uncharacterized conserved protein","113475170","4241674","-"
"Tery_1469","638106622","2227883","2228242","+","0.35","360","120","conserved hypothetical protein","113475171","4241675","-"
"Tery_1470","638106623","2228505","2230655","-","0.34","2151","717","multi-sensor signal transduction histidine kinase( EC:2.7.13.3 )","113475172","4241676","-"
"Tery_1471","638106624","2231265","2232536","-","0.43","1272","424","phosphoribosylamine--glycine ligase( EC:6.3.4.13 )","113475173","4241677","-"
"Tery_1472","638106625","2233115","2234302","-","0.32","1188","396","beta-lactamase","113475174","4241678","-"
"Tery_1473","638106626","2235212","2236372","+","0.36","1161","387","phosphoribosylaminoimidazole carboxylase, ATPase subunit( EC:4.1.1.21 )","113475175","4241679","-"
"Tery_1474","639331497","2237040","2237267","+","0.31","228","76","-","-","-","-"
"Tery_1475","638106627","2238830","2239441","+","0.33","612","204","cupin region","113475176","4241681","-"
"Tery_1476","638106628","2239624","2241048","+","0.36","1425","475","protein of unknown function UPF0061","113475177","4241682","-"
"Tery_1477","638106629","2241952","2242185","+","0.32","234","78","conserved hypothetical protein","113475178","4241683","-"
"Tery_1478","638106630","2242503","2242862","+","0.28","360","120","putative transposase","113475179","4241684","-"
"Tery_1479","638106631","2243655","2249795","-","0.33","6141","2047","Methyltransferase type 11","113475180","4243054","-"
"Tery_1480","638106632","2250045","2251889","-","0.3","1845","615","Methyltransferase type 11","113475181","4243055","-"
"Tery_1481","638106633","2251946","2253229","-","0.38","1284","428","sulfotransferase","113475182","4243056","-"
"Tery_1482","638106634","2254170","2254688","-","0.37","519","173","hypothetical protein","113475183","4243057","-"
"Tery_1484","639331498","2255277","2255867","+","0.32","591","197","-","-","-","-"
"Tery_1485","638106636","2255847","2257025","-","0.34","1179","393","hypothetical protein","113475185","4243060","-"
"Tery_1486","638106637","2257131","2258564","-","0.32","1434","478","Methyltransferase type 11","113475186","4243061","-"
"Tery_1487","638106638","2258640","2260478","-","0.35","1839","613","sulfotransferase","113475187","4243062","-"
"Tery_1488","638106639","2260811","2262151","-","0.31","1341","447","hypothetical protein","113475188","4243063","-"
"Tery_1489","638106640","2262896","2263339","+","0.38","444","148","hypothetical protein","113475189","4243064","-"
"Tery_1490","638106641","2263346","2263981","+","0.38","636","212","Methyltransferase type 11","113475190","4243065","-"
"Tery_1491","639331499","2264403","2264762","+","0.32","360","120","-","-","-","-"
"Tery_1492","638106642","2264832","2270045","+","0.36","5214","1738","glycosyl transferase, family 2","113475191","4243067","-"
"Tery_1493","638106643","2270596","2270847","+","0.34","252","84","conserved hypothetical protein","113475192","4243068","-"
"Tery_1494","638106644","2270960","2271160","+","0.32","201","67","conserved hypothetical protein","113475193","4243069","-"
"Tery_1495","638106645","2271384","2272046","+","0.37","663","221","conserved hypothetical protein","113475194","4243070","-"
"Tery_1496","638106646","2272168","2275125","-","0.35","2958","986","Chromosome segregation ATPase-like protein","113475195","4243071","-"
"Tery_1497","638106647","2275783","2279412","-","0.32","3630","1210","Chromosome segregation ATPase-like protein","113475196","4243072","-"
"Tery_1498","639331500","2280047","2280439","+","0.27","393","131","-","-","-","-"
"Tery_1499","638106648","2281661","2283121","+","0.34","1461","487","TPR repeat","113475197","4242959","-"
"Tery_1500","638106649","2283508","2284245","-","0.34","738","246","hypothetical protein","113475198","4242960","-"
"Tery_1501","638106650","2284654","2284980","+","0.36","327","109","hypothetical protein","113475199","4242961","-"
"Tery_1502","638106651","2285467","2285946","+","0.34","480","160","conserved hypothetical protein","113475200","4242962","-"
"Tery_1503","638106652","2286427","2286921","+","0.32","495","165","conserved hypothetical protein","113475201","4242963","-"
"Tery_1504","638106653","2287727","2288308","-","0.39","582","194","Thioredoxin domain","113475202","4242964","-"
"Tery_1505","638106654","2288744","2289148","+","0.37","405","135","4Fe-4S ferredoxin, iron-sulfur binding","113475203","4242965","-"
"Tery_1506","638106655","2290170","2290724","-","0.35","555","185","Shikimate kinase( EC:2.7.1.71 )","113475204","4242966","aroK"
"Tery_1507","638106656","2291951","2292667","-","0.34","717","239","conserved hypothetical protein","113475205","4242967","-"
"Tery_1508","638106657","2292766","2293098","-","0.4","333","111","3-octaprenyl-4-hydroxybenzoate carboxy-lyase","113475206","4242968","-"
"Tery_1509","638106658","2293129","2293335","-","0.33","207","69","hypothetical protein","113475207","4242969","-"
"Tery_1510","639331501","2293514","2293903","-","0.35","390","130","-","-","-","-"
"Tery_1511","638106659","2294607","2296907","-","0.39","2301","767","VacB and RNase II family 3'-5' exoribonucleases( EC:3.1.- )","113475208","4242971","-"
"Tery_1512","638106660","2297560","2298819","+","0.32","1260","420","unnamed protein product; Weakly similar to tr|Q8YXH4|Q8YXH4 [Anabaena_sp._(strain_PCC_7120)._] All1239 protein","113475209","4242972","-"
"Tery_1513","638106661","2299624","2300118","+","0.35","495","165","RNA-directed DNA polymerase","113475210","4242973","-"
"Tery_1514","638106662","2300636","2301247","-","0.39","612","204","ATP-dependent Clp protease, proteolytic subunit ClpP( EC:3.4.21.92 )","113475211","4242974","-"
"Tery_1515","638106663","2302943","2304043","-","0.37","1101","367","conserved hypothetical protein","113475212","4242975","-"
"Tery_1516","638106664","2304394","2305170","+","0.35","777","259","phage Gp37Gp68","113475213","4242976","-"
"Tery_1517","639331502","2305167","2306273","-","0.3","1107","369","-","-","-","-"
"Tery_1518","638106665","2306692","2308485","+","0.31","1794","598","TPR repeat","113475214","4241705","-"
"Tery_1519","638106666","2309270","2309782","+","0.37","513","171","Inorganic diphosphatase( EC:3.6.1.1 )","113475215","4241706","-"
"Tery_1520","638106667","2310208","2310447","-","0.27","240","80","hypothetical protein","113475216","4241707","-"
"Tery_1521","638106668","2310598","2310861","-","0.25","264","88","conserved hypothetical protein","113475217","4241708","-"
"Tery_1522","638106669","2310958","2312223","-","0.34","1266","422","glycosyl transferase, group 1","113475218","4241709","-"
"Tery_1523","638106670","2313012","2314022","-","0.32","1011","337","anti-sigma-factor antagonist and sugar transfersase( EC:2.7.8.6 )","113475219","4241710","-"
"Tery_1524","639331503","2315033","2315308","-","0.29","276","92","-","-","-","-"
"Tery_1525","638106671","2315772","2316473","-","0.41","702","234","conserved hypothetical protein","113475220","4241712","-"
"Tery_1526","639331504","2316542","2316721","-","0.35","180","60","-","-","-","-"
"Tery_1527","638106672","2317317","2317547","+","0.36","231","77","hypothetical protein","113475221","4241714","-"
"Tery_1528","638106673","2317702","2317824","+","0.36","123","41","hypothetical protein","113475222","4241715","-"
"Tery_1529","639331505","2317961","2318429","-","0.29","469","156.3333333","-","-","-","-"
"Tery_1530","638106674","2319290","2320687","-","0.36","1398","466","light-independent protochlorophyllide reductase, N subunit( EC:1.18.- )","113475223","4241717","-"
"Tery_1531","638106675","2321453","2322700","-","0.39","1248","416","conserved hypothetical protein","113475224","4241718","-"
"Tery_1532","638106676","2322739","2323605","-","0.41","867","289","light-independent protochlorophyllide reductase, iron-sulfur ATP-binding protein( EC:1.18.- )","113475225","4241719","chlL"
"Tery_1533","638106677","2324538","2326616","-","0.36","2079","693","Polypeptide-transport-associated, ShlB-type","113475226","4241720","-"
